,Month,Dest,ArrDelay,DepDelay,iata,airport,city,state,country,lat,long
877,9,DAY,788.0,3743.0,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
878,10,DAY,755.0,4394.0,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
879,11,DAY,7025.0,6857.0,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
880,12,DAY,20446.0,18634.0,DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375
881,1,DBQ,2161.0,1785.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
882,2,DBQ,1924.0,1625.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
883,3,DBQ,1209.0,1142.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
884,4,DBQ,1520.0,1083.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
885,5,DBQ,1725.0,1557.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
886,6,DBQ,2186.0,1592.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
887,7,DBQ,1226.0,968.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
888,8,DBQ,-152.0,-4.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
889,9,DBQ,201.0,283.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
890,10,DBQ,-200.0,-124.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
891,11,DBQ,298.0,95.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
892,12,DBQ,2206.0,1884.0,DBQ,Dubuque Municipal,Dubuque,IA,USA,42.40295944,-90.70916722
893,1,DCA,15437.0,41083.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
894,2,DCA,43505.0,57510.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
895,3,DCA,46016.0,63327.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
896,4,DCA,28496.0,37865.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
897,5,DCA,18514.0,34403.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
898,6,DCA,95692.0,87099.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
899,7,DCA,68367.0,74655.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
900,8,DCA,29031.0,54348.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
901,9,DCA,-2032.0,12260.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
902,10,DCA,-18558.0,9081.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
903,11,DCA,9138.0,22788.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
904,12,DCA,74784.0,79926.0,DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
905,1,DEN,166596.0,191880.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
906,2,DEN,169323.0,188309.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
907,3,DEN,142493.0,169354.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
908,4,DEN,70497.0,97080.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
909,5,DEN,161714.0,138838.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
910,6,DEN,231227.0,227737.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
911,7,DEN,153507.0,193313.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
912,8,DEN,129008.0,163967.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
913,9,DEN,-7714.0,43776.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
914,10,DEN,-20081.0,38606.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
915,11,DEN,-27565.0,60567.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
916,12,DEN,307556.0,310581.0,DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019
917,1,DFW,211761.0,231754.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
918,2,DFW,247659.0,232195.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
919,3,DFW,279477.0,286411.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
920,4,DFW,200408.0,188900.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
921,5,DFW,297185.0,256806.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
922,6,DFW,337507.0,327495.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
923,7,DFW,166185.0,219922.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
924,8,DFW,199866.0,222832.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
925,9,DFW,2630.0,49168.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
926,10,DFW,31484.0,69580.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
927,11,DFW,-52749.0,73459.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
928,12,DFW,206615.0,270436.0,DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
929,1,DHN,474.0,1068.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
930,2,DHN,838.0,1069.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
931,3,DHN,1375.0,1824.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
932,4,DHN,1724.0,1172.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
933,5,DHN,1593.0,1095.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
934,6,DHN,1532.0,1350.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
935,7,DHN,2520.0,2286.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
936,8,DHN,2403.0,2552.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
937,9,DHN,-437.0,23.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
938,10,DHN,783.0,908.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
939,11,DHN,1503.0,1291.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
940,12,DHN,2108.0,1750.0,DHN,Dothan ,Dothan,AL,USA,31.32133917,-85.44962889
941,1,DLH,1082.0,1450.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
942,2,DLH,1811.0,1526.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
943,3,DLH,2010.0,1994.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
944,4,DLH,1094.0,1445.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
945,5,DLH,284.0,792.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
946,6,DLH,1065.0,1196.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
947,7,DLH,864.0,1182.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
948,8,DLH,-363.0,313.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
949,9,DLH,-173.0,398.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
950,10,DLH,-738.0,-252.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
951,11,DLH,29.0,151.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
952,12,DLH,1599.0,1256.0,DLH,Duluth International,Duluth,MN,USA,46.84209028,-92.19364861
953,1,DRO,1712.0,1457.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
954,2,DRO,1838.0,1596.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
955,3,DRO,162.0,760.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
956,4,DRO,-1323.0,-684.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
957,5,DRO,51.0,603.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
958,6,DRO,184.0,740.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
959,7,DRO,1476.0,2178.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
960,8,DRO,249.0,656.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
961,9,DRO,-43.0,824.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
962,10,DRO,-798.0,704.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
963,11,DRO,-833.0,92.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
964,12,DRO,3608.0,2847.0,DRO,Durango-La Plata County,Durango,CO,USA,37.15151667,-107.7537692
965,1,DSM,20444.0,21752.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
966,2,DSM,22923.0,22051.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
967,3,DSM,16172.0,20141.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
968,4,DSM,10131.0,13328.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
969,5,DSM,8376.0,9735.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
970,6,DSM,19104.0,20338.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
971,7,DSM,14137.0,18420.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
972,8,DSM,5150.0,12125.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
973,9,DSM,-1458.0,4037.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
974,10,DSM,-654.0,4505.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
975,11,DSM,1627.0,4790.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
976,12,DSM,27911.0,25092.0,DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222
977,1,DTW,125348.0,138574.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
978,2,DTW,183976.0,177244.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
979,3,DTW,117556.0,137780.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
980,4,DTW,43664.0,75099.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
981,5,DTW,40411.0,66053.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
982,6,DTW,157993.0,153567.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
983,7,DTW,46867.0,83872.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
984,8,DTW,-5087.0,46935.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
985,9,DTW,-50486.0,14363.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
986,10,DTW,-60987.0,2996.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
987,11,DTW,-25966.0,20945.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
988,12,DTW,175456.0,178359.0,DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583
989,1,EGE,5799.0,6424.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
990,2,EGE,9323.0,9868.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
991,3,EGE,10483.0,9509.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
992,4,EGE,1189.0,1076.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
993,5,EGE,593.0,576.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
994,6,EGE,3287.0,3202.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
995,7,EGE,2599.0,2825.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
996,8,EGE,2622.0,3050.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
997,9,EGE,453.0,742.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
998,10,EGE,808.0,1101.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
999,11,EGE,-471.0,143.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
1000,12,EGE,8359.0,7091.0,EGE,Eagle County Regional,Eagle,CO,USA,39.64256778,-106.9176953
1001,1,EKO,2411.0,1537.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1002,2,EKO,616.0,100.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1003,3,EKO,615.0,211.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1004,4,EKO,-332.0,-451.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1005,5,EKO,-747.0,-303.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1006,6,EKO,-59.0,72.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1007,7,EKO,-53.0,56.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1008,8,EKO,-145.0,4.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1009,9,EKO,-336.0,-194.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1010,10,EKO,-136.0,-296.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1011,11,EKO,-42.0,-166.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1012,12,EKO,1741.0,1196.0,EKO,Elko Regional,Elko,NV,USA,40.82492611,-115.7916964
1013,1,ELM,1390.0,1545.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1014,2,ELM,1795.0,1674.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1015,3,ELM,416.0,815.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1016,4,ELM,309.0,696.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1017,5,ELM,435.0,893.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1018,6,ELM,1211.0,1562.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1019,7,ELM,-479.0,236.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1020,8,ELM,-628.0,0.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1021,9,ELM,-605.0,-64.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1022,10,ELM,-856.0,-201.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1023,11,ELM,-73.0,-101.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1024,12,ELM,2471.0,2190.0,ELM,Elmira/Corning Regional,Elmira,NY,USA,42.15991361,-76.89144333
1025,1,ELP,14033.0,18956.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1026,2,ELP,15467.0,21198.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1027,3,ELP,15044.0,20991.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1028,4,ELP,9201.0,13112.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1029,5,ELP,14487.0,17449.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1030,6,ELP,20452.0,24201.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1031,7,ELP,14387.0,21135.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1032,8,ELP,11798.0,17558.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1033,9,ELP,1522.0,6994.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1034,10,ELP,239.0,8271.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1035,11,ELP,-307.0,7274.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1036,12,ELP,23904.0,29544.0,ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056
1037,1,ERI,1400.0,1122.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1038,2,ERI,3114.0,2630.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1039,3,ERI,1508.0,1670.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1040,4,ERI,-84.0,308.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1041,5,ERI,263.0,470.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1042,6,ERI,611.0,859.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1043,7,ERI,-18.0,589.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1044,8,ERI,-402.0,54.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1045,9,ERI,-107.0,467.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1046,10,ERI,-620.0,-24.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1047,11,ERI,784.0,643.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1048,12,ERI,2099.0,1417.0,ERI,Erie Intl,Erie,PA,USA,42.08202139,-80.17621556
1049,1,EUG,11489.0,10630.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1050,2,EUG,5316.0,5595.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1051,3,EUG,1481.0,1967.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1052,4,EUG,1645.0,1067.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1053,5,EUG,1765.0,2269.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1054,6,EUG,5023.0,5259.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1055,7,EUG,2184.0,3563.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1056,8,EUG,2269.0,3217.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1057,9,EUG,242.0,1374.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1058,10,EUG,1301.0,1239.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1059,11,EUG,1882.0,2028.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1060,12,EUG,6889.0,6458.0,EUG,Mahlon Sweet ,Eugene,OR,USA,44.12326,-123.2186856
1061,1,EVV,6061.0,6501.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1062,2,EVV,7831.0,7770.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1063,3,EVV,5762.0,6000.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1064,4,EVV,2342.0,3475.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1065,5,EVV,929.0,1640.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1066,6,EVV,4687.0,4645.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1067,7,EVV,2092.0,3169.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1068,8,EVV,-254.0,2002.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1069,9,EVV,-1478.0,1270.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1070,10,EVV,-1095.0,1010.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1071,11,EVV,775.0,1777.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1072,12,EVV,7701.0,6517.0,EVV,Evansville Regional,Evansville,IN,USA,38.03799139,-87.53062667
1073,1,EWN,-87.0,542.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1074,2,EWN,292.0,971.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1075,3,EWN,818.0,1460.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1076,4,EWN,834.0,768.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1077,5,EWN,76.0,74.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1078,6,EWN,200.0,386.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1079,7,EWN,1020.0,1152.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1080,8,EWN,-270.0,130.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1081,9,EWN,132.0,427.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1082,10,EWN,123.0,82.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1083,11,EWN,654.0,672.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1084,12,EWN,729.0,822.0,EWN,Craven County Regional,New Bern,NC,USA,35.07297222,-77.04294444
1085,1,EWR,150910.0,203294.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1086,2,EWR,248753.0,292590.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1087,3,EWR,335494.0,372761.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1088,4,EWR,182212.0,225036.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1089,5,EWR,242655.0,275935.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1090,6,EWR,392532.0,386322.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1091,7,EWR,270868.0,281091.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1092,8,EWR,230266.0,284522.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1093,9,EWR,76132.0,109370.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1094,10,EWR,131218.0,164003.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1095,11,EWR,183804.0,204019.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1096,12,EWR,337590.0,362748.0,EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
1097,1,EYW,2042.0,2226.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1098,2,EYW,1979.0,2073.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1099,3,EYW,3747.0,3818.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1100,4,EYW,1112.0,1212.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1101,5,EYW,-291.0,316.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1102,6,EYW,679.0,695.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1103,7,EYW,1975.0,2166.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1104,8,EYW,1894.0,1966.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1105,9,EYW,150.0,474.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1106,10,EYW,860.0,681.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1107,11,EYW,1619.0,1371.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1108,12,EYW,2370.0,2230.0,EYW,Key West International,Key West,FL,USA,24.55611111,-81.75955556
1109,1,FAI,1950.0,2408.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1110,2,FAI,764.0,1471.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1111,3,FAI,291.0,1587.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1112,4,FAI,2024.0,2578.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1113,5,FAI,2282.0,2516.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1114,6,FAI,4306.0,4813.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1115,7,FAI,2807.0,2807.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1116,8,FAI,2566.0,3845.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1117,9,FAI,864.0,1939.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1118,10,FAI,175.0,1096.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1119,11,FAI,822.0,1389.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1120,12,FAI,6412.0,5270.0,FAI,Fairbanks International,Fairbanks,AK,USA,64.8136775,-147.8596694
1121,1,FAR,3999.0,4444.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1122,2,FAR,6838.0,6564.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1123,3,FAR,3616.0,3885.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1124,4,FAR,2817.0,2600.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1125,5,FAR,2494.0,2123.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1126,6,FAR,4234.0,4856.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1127,7,FAR,2642.0,3752.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
1128,8,FAR,-192.0,1264.0,FAR,Hector International,Fargo,ND,USA,46.91934889,-96.81498889
